CQID,CompetencyQuestion,StoryID
CQ5-9,What Trust calibration mechanisms are implemented during automation mode transitions?,US5
CQ5-10,What Lane detection visualizations best support driver situation awareness during handovers?,US5
CQ6-1,What Questionnaires are used to assess driver PersonalityFactor traits?,US6
CQ6-2,What components comprise the NASA-TLX measure for driver workload assessment?,US6
CQ6-3,What is the relationship between Self-measures and physiological Detection methodologies?,US6
CQ6-4,What Electrodermal activity and Skin conductance measurement (EDA) patterns correlate with reported Frustration?,US6
CQ6-5,What Electroencephalogram (EEG) signals indicate various CognitiveState conditions?,US6
CQ6-6,What Driver parameters are most accurately assessed through Self-measures versus physiological sensors?,US6
CQ6-7,What Trust calibration mechanisms require adjustment based on discrepancies between subjective and objective measures?,US6
CQ6-8,What is the relationship between PersonalityFactor traits and responsiveness to different Vehicle system (HMI) adaptations?,US6
CQ6-9,What Measures assess driver satisfaction with different Tactile feedback types?,US6
CQ6-10,What Cross-modal congruence principles emerge from comparing subjective and objective Detection methodologies?,US6
CQ7-1,What road conditions affect PostureState measurements in drivers?,US7
CQ7-2,What air quality classifications are defined in the Environment factors taxonomy?,US7
CQ7-3,What is the relationship between air quality and appropriate vehicle climate control responses?,US7
CQ7-4,What Biological Sensors are used to detect driver reactions to environmental air quality?,US7
CQ7-5,What daytime conditions affect appropriate Display Types brightness parameters?,US7
CQ7-6,What Steering Behavior Analysis metrics change in response to road conditions ('even' to 'uneven')?,US7
CQ7-7,What combination of weather conditions and daytime conditions create the highest Road complexity analysis scores?,US7
CQ7-8,What Speed violation tendency measurement thresholds should adjust based on Environment factors?,US7
CQ7-9,What Trip duration tracking metrics indicate increased risk of Fatigue?,US7
CQ7-10,What relationship exists between Seat occupancy sensors data and road conditions assessment?,US7
CQ8-1,What Regulation strategies govern Lane keeping assist interventions?,US8
CQ8-2,What components comprise Cross-modal congruence assessment for ADAS features?,US8
CQ8-3,What Force Feedback parameters are evaluated for Lane keeping assist interventions?,US8
CQ8-4,What Visual Elements must be included in standardized lane departure warnings?,US8
CQ8-5,What Urgency-based timing thresholds apply to different driver alert scenarios?,US8
CQ8-6,What Message Structure adaptations are appropriate for drivers experiencing Confusion?,US8
CQ8-7,What User Experience Factors affect driver acceptance of safety interventions?,US8
CQ8-8,What Trust calibration mechanisms are required for ADAS features?,US8
CQ8-9,What is the relationship between Speed violation tendency and appropriate intervention intensity?,US8
CQ8-10,What Dialog Design elements most effectively communicate both intervention status and rationale?,US8
CQG-1,What are all the subclasses of Driver parameters in the ontology?,GEN
CQG-2,What Detection methodologies are employed for each driver state category?,GEN
CQG-3,What is the composition of the Vehicle system (HMI) in terms of feedback systems?,GEN
CQG-4,What are the components of the PostureState class?,GEN
CQG-5,What is the relationship between EmotionalState and CognitiveState classes?,GEN
CQG-6,What are all the subclasses of Environment factors that affect driver state detection?,GEN
CQG-7,What is the type of each Physiological Sensor in the detection system?,GEN
CQG-8,What ADAS features are integrated with the Vehicle system (HMI)?,GEN
CQG-9,What is the composition of the Dialog Design system?,GEN
CQG-10,What are the components of the Multimodal Integration framework?,GEN
CQG-11,What is the relationship between PersonalityFactor traits and DrivingBehaviour patterns?,GEN
CQG-12,What are the different types of Visual feedback employed in the Vehicle system (HMI)?,GEN
CQG-13,What are all the measurement metrics used in Detection methodologies?,GEN
CQG-14,What is the relationship between Road-facing Cameras and Environmental condition assessment?,GEN
CQG-15,What are the subclasses of DiscreteEmotiveStates that can be detected by the system?,GEN
